el estudio	кабінет, робоча кімната
las playas	пляжі
el fin de semana	вихідні
preguntar	запитувати
contestar	відповідати
el tomate	помідор
el dinero	гроші
setenta	сімдесят
amarillo	жовтий
el actor	актор
el mapa	карта
la madre	мати
dedicar	присвячувати
sesenta	шістдесят
la doctora	лікарка
pequeño	маленький
malo	поганий
leer	читати
tres	три
el director	директор
feliz	щасливий
vosotras	ви (жін., тільки в Іспанії)
acudir	приходити, з'являтися
usar	використовувати
pasado mañana	післязавтра
el pepino	огірок
funcionar	працювати (про пристрій)
la actriz	акторка
la vida	життя
el gato	кіт
abril	квітень
seis	шість
nervioso	нервовий
la compañera	однокласниця, подруга
la mujer	жінка
el limón	лимон
el bolso	сумка
la ciudad	місто
la manzana	яблуко
cantar	співати
